編號,公告日期,品名,使用食品範圍及限量標準,使用限制
001,,"氯化石灰(漂白粉) Chlorinated Lime","本品可使用於飲用水及食品用水；用量以 殘留有效氯符合飲用水標準為度。",　
002,,"次氯酸鈉液Sodium Hypo-chlorite Solution","本品可使用於飲用水及食品用水；用量以 殘留有效氯符合飲用水標準為度。",　
003,,"過氧化氫(雙氧水) Hydrogen Per-oxide","本品可使用於魚肉煉製品、除麵粉及其製 品以外之其他食品；用量以H2O2 殘留量計：食品中不得殘留。",　
004,,"二氧化氯 Chlorine Dioxide","本品可使用於飲用水及食品用水；用量以 殘留有效氯及亞氯酸鹽含量符合飲用水標 準為度。",　
