§,name,分子式,分子量,含量,外觀及性狀,鑑別,鹼度,硒,砷,重金屬,分類,用途,溶液性狀,鐵,雙胺基乙烯醋酸鈉,甲醛鹽,鋅,外觀,鉛
04001,"亞硫酸鉀Potassium Sulfite",K2SO3,158.25,"90.0 ％以上。",無色顆粒狀粉末，無臭。在空氣中易氧化，可溶於水，微溶於酒精。,"本品水溶液（本品1 g溶於水20mL）之鉀離子及亞硫酸根離子試驗呈陽性反應。","0.25～0.45 ％（以K2CO3計）。","30 ppm以下。","4 ppm以下（以As2O3計）。","10 ppm以下（以Pb計）。",食品添加物第（四）類。,漂白劑。,,,,,,,
04002,"亞硫酸鈉Sodium Sulfite",Na2SO37H2O,252.16,"95 ％以上（以乾重計）。",無色或白色結晶，無臭，在空氣中易氧化，可溶於水，難溶於酒精。,"本品水溶液（本品1 g溶於水20mL）之鈉離子及亞硫酸根離子試驗呈陽性反應。",,"30 ppm以下（以本品乾重之Se含量計）。","4 ppm以下（以本品乾重之As2O3量計）。","10 ppm以下（以本品乾重之Pb含量計）。",食品添加物第（四）類。,漂白劑。,"本品0.5 g溶於水10mL，其溶液應無色，呈鹼性，且濁度應在「殆澄明」以下。",,,,,,
04003,"亞硫酸鈉（無水）Sodium Sulfite，Anhydrous",Na2SO3,126.04,"95.0 ％以上。",無色、白色或淺粉紅色之粉末，無臭，在空氣中易氧化。可溶於水，難溶於酒精。,"本品水溶液（本品1 g溶於水20mL）之鈉離子及亞硫酸根離子試驗呈陽性反應。",,"30 ppm以下。","4 ppm以下（以As2O3計）。","10 ppm以下（以Pb計）。",食品添加物第（四）類。,漂白劑。,"本品0.5 g溶於水10mL，其溶液應無色，且濁度應在「殆澄明」以下。",,,,,,
04004,"亞硫酸氫鈉Sodium Bisulfite",,,"58.5～67.4 ％（以SO2計）。",本品為亞硫酸氫鈉（NaHSO3）及偏重亞硫酸氫鈉（Na2S2O5）之混合物，為白色或黃白色結晶或顆粒性粉末，具二氧化硫之臭味，在空氣中不穩定，可溶於水，微溶於酒精。,"本品水溶液（本品1 g溶於水10mL）之鈉離子及亞硫酸根離子呈陽性反應。",,"30 ppm以下。","4 ppm以下（以As2O3計）。","10 ppm以下（以Pb計）。",食品添加物第（四）類。,漂白劑。,,"50 ppm以下。",,,,,
04005,"低亞硫酸鈉Sodium Hydrosulfite",Na2S2O4,174.11,"85.0 ％以上。",白色或灰白色結晶性粉末，無臭或略具二氧化硫之臭味。,"（1）本品水溶液（本品1 g溶於水100 mL）10 mL加入硫酸銅溶液（硫酸銅1 g溶於水20 mL）2 mL，則溶液呈灰黑色。（2）本品水溶液（本品1 g溶於水100 mL）10 mL加入高錳酸鉀試液（高錳酸鉀1 g溶於水300 mL）1 mL，則溶液之顏色立即消失。（3）本品之鈉離子試驗呈陽性反應。",,,"4 ppm以下（以As2O3計）。","10 ppm以下（以Pb計）。",食品添加物第（四）類。,漂白劑。,"甲醛液10 mL加水10 mL，以氫氧化鈉水溶液（氫氧化鈉1 g溶於水使成25 mL）中和後，取其10 mL加入本品0.5g溶解，而後放置5分鐘，其濁度應在「微濁」以下。",,"本品0.5 g溶於水5 mL，加鉻酸鉀溶液（鉻酸鉀溶液1 g溶於水200 mL）2 mL及亞砷酸試液2mL，置於水浴中加熱2分鐘後，不呈紫色。","0.05 ％以下（以HCHO計）。","80 ppm以下。",,
04006,"偏亞硫酸氫鉀Potassium Metabisulfite",K2S2O5,222.33,"93.0 ％以上。",白色或無色結晶或結晶性粉末，具二氧化硫之臭味，在空氣中易氧化，可溶於水，不溶於酒精。,"本品水溶液（本品1 g溶於水10mL）之鉀離子及亞硫酸根離子試驗呈陽性反應。",,"30 ppm以下。","4 ppm以下（以As2O3計）。","10 ppm以下（以Pb計）。",食品添加物第（四）類。,漂白劑。,"本品1 g溶於水10mL，其濁度應在「殆澄明」以下，且溶液呈酸性。","10 ppm以下。",,,,,
04008,"偏亞硫酸氫鈉Sodium Metabisulfite",Na2S2O5,190.11,"93.0 ％以上。",,"本品水溶液（本品1 g溶於水20mL）之鈉離子及亞硫酸根離子試驗呈陽性反應。",,"30 ppm以下。","4 ppm以下（以As2O3計）。","10 ppm以下（以Pb計）。",食品添加物第（四）類。,漂白劑。,"本品0.5 g溶於水10mL，其濁度應在「殆澄明」以下，且溶液呈酸性。","20 ppm以下。",,,,白色或微黃色結晶性粉末，具二氧化硫之臭味，易溶於水，微溶於酒精。,"10 ppm以下。"
