§,name,含量,外觀,分類,用途,主成分分子式,主成分分子量,溴酸鹽
02001,"氯化石灰（漂白粉）Chlorinated Lime","本品含有效氯25～40 ％。",白～類白色粉末，具氯臭。,食品添加物第（二）類。,殺菌劑。,,,
02002,"次氯酸鈉液Sodium Hypochlorite Solution","有效氯4 ％以上。",無色至淡綠黃色液體，有氯臭。,食品添加物第（二）類。,殺菌劑。,NaClO,74.45,"50 ppm以下。﹙自中華民國九十八年十二月二十六日施行。﹚"
