§,name,分子式,分子量,含量,外觀及性狀,鑑別,砷,鉛,重金屬,分類,用途,乾燥減重,氯化物
05001,"亞硝酸鉀Potassium Nitrite",KNO2,85.10,"90.0 ％以上（乾燥後定量）。","白色或黃色具潮解性之顆粒或棒狀物。極易溶於水，微溶於乙醇。其水溶液（本品1 g溶於水10 mL）以石蕊試紙試之呈鹼性。","本品1 g溶於水10mL之水溶液，其鉀離子及亞硝酸根離子試驗呈陽性反應。","4 ppm以下（以As2O3計）。","10 ppm以下。","20 ppm以下（以Pb計）。",食品添加物第（五）類。,保色劑。,,
05002,"亞硝酸鈉Sodium Nitrite",NaNO2,69.00,"97.0 ％以上（乾燥後定量）。",白色或淡黃色之結晶性粉末，或呈近白色不透明塊狀、條狀。略具鹹味，在空氣中可潮解。本品水溶液以石蕊試紙試之呈鹼性，易溶於水，而微溶於乙醇。,本品之鈉離子及亞硝酸根離子試驗呈陽性反應。,"4 ppm以下（以As2O3計）。","10 ppm以下。","20 ppm以下（以Pb計）。",食品添加物第（五）類。,保色劑。,"3.0 ％以下（100 ℃，5小時）。",
05003,"硝酸鉀Potassium Nitrite",KNO3,101.10,"99.0 ％以上（乾燥後定量）。","白色透明菱晶，或白色顆粒性粉末，無臭，具鹹味及清涼味。在潮濕空氣中輕微潮解。其水溶液以石蕊試紙試之呈中性，本品1 g可溶於25 ℃水3 mL或沸騰水0.5 mL，或溶於乙醇620 mL。","本品1 g溶於水10mL所成之水溶液，其鉀離子及硝酸根離子試驗呈陽性反應。","4 ppm以下（以As2O3計）。","10 ppm以下。","20 ppm以下（以Pb計）。",食品添加物第（五）類。,保色劑。,"1.0 ％以下（105 ℃，4小時）。","0.021 ％以下（以Cl計）。"
